date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-10-06 00:00:00,5,0,10,0,,283,15.5,,1010.6,
2023-10-07 00:00:00,8.7,5.7,12.2,8,,261,24.6,,1010.4,
2023-10-08 00:00:00,7,4,10,20,,279,19.9,,1007.7,
2023-10-09 00:00:00,7.1,3,11,5.9,,315,16.9,,1005.9,
2023-10-10 00:00:00,4.1,-1.5,12.4,0,,289,12.9,,1020.5,
2023-10-11 00:00:00,5.5,-2,13.2,0,,358,11.5,,1026.5,
2023-10-12 00:00:00,7.1,-0.2,15,0,,257,10,,1024.7,
2023-10-13 00:00:00,7.4,1,13.7,0,,354,13.2,,1020.5,
2023-10-14 00:00:00,8.4,1,15.5,0,,310,11.1,,1019.1,
2023-10-15 00:00:00,8.6,3.1,13,0.1,,276,9.2,,1018.7,
2023-10-16 00:00:00,7.8,0,14.1,0,,292,9.8,,1022.6,
2023-10-17 00:00:00,11.3,5.7,18,0,,103,11.9,,1021.3,
2023-10-18 00:00:00,12.4,3.5,21.2,0,,322,14.8,,1013.2,
2023-10-19 00:00:00,11.9,8,21.6,1.1,,271,11.5,,1014.6,
2023-10-20 00:00:00,10.1,4,16.4,0,,240,11.4,,1016.5,
2023-10-21 00:00:00,9,1,17,0,,302,9.8,,1019.6,
2023-10-22 00:00:00,9.3,-0.4,19.2,0,,278,12,,1019.8,
2023-10-23 00:00:00,9.2,0.6,19.4,1,,275,8.8,,1021.9,
2023-10-24 00:00:00,11.5,8.1,19.3,0,,331,14.5,,1020.3,
2023-10-25 00:00:00,10.5,7,14.8,0.1,,300,17.9,,1014,
2023-10-26 00:00:00,11.6,9.5,16,8.4,,306,14.4,,1002.2,
2023-10-27 00:00:00,8.8,5,15.7,6.1,,355,19.7,,987,
2023-10-28 00:00:00,4.3,3,11.7,3.3,,22,16.1,,980.9,
2023-10-29 00:00:00,2.9,0.2,8.9,0,,344,11.2,,996.4,
2023-10-30 00:00:00,3.9,-3,12.5,0,,335,8.4,,1018,
2023-10-31 00:00:00,7.3,3.5,13.5,0.7,,221,8.4,,1026,
2023-11-01 00:00:00,7.9,-1.9,18.2,0,,268,5.9,,1022.7,
2023-11-02 00:00:00,10.7,2.6,19,0,,295,14.7,,1016.2,
2023-11-03 00:00:00,10.2,6.7,15.2,0,,275,13.5,,1014.9,
2023-11-04 00:00:00,8.2,3.5,11.7,30.6,,37,17.2,,1004.4,
2023-11-05 00:00:00,7.9,2.8,14,0.1,,313,13.4,,1008.3,
2023-11-06 00:00:00,7.8,5,14.6,6,,229,12,,1006.7,
2023-11-07 00:00:00,9.1,6.6,13,5.2,,326,13.1,,1008.6,
2023-11-08 00:00:00,9.2,5,14.1,0,,276,14.9,,1017.1,
2023-11-09 00:00:00,10,5.5,16,0,,310,13,,1013.8,
2023-11-10 00:00:00,9.4,3.2,16,1.7,,348,13,,999.8,
2023-11-11 00:00:00,8,2.6,17.2,0,,298,12.7,,996.5,
2023-11-12 00:00:00,5.5,2,11.6,0,,297,13.8,,1013.1,
2023-11-13 00:00:00,6.6,1,10.6,8.5,,246,11.9,,1005.7,
2023-11-14 00:00:00,4.7,1,8.2,5.5,,334,12.1,,1006.2,
2023-11-15 00:00:00,6.7,4,10.9,0,,263,18.1,,1003.3,
2023-11-16 00:00:00,8.9,4.7,14,21.6,,322,12.7,,991.5,
2023-11-17 00:00:00,7.3,5,15.5,0.5,,288,14.3,,988.8,
2023-11-18 00:00:00,6,3,11.4,3.9,,320,9.6,,1002.8,
2023-11-19 00:00:00,8.7,4.7,15,21.3,,290,9.1,,1003.5,
